"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.02.2021","231,0526","234,2924","234,4352","212,2499","7,71M","-1,13%"
"25.02.2021","233,6945","254,1200","257,1982","233,6945","6,87M","-8,09%"
"24.02.2021","254,2729","229,8680","275,5571","226,3668","11,78M","9,73%"
"23.02.2021","231,7178","268,5139","268,5139","206,1488","15,88M","-13,36%"
"22.02.2021","267,4557","295,1292","295,1292","246,4910","12,61M","-8,97%"
"21.02.2021","293,8044","254,9248","298,7759","254,9248","10,65M","15,48%"
"20.02.2021","254,4092","334,1256","334,1256","254,4092","13,49M","-23,54%"
"19.02.2021","332,7340","196,2928","332,7340","196,2928","20,19M","69,97%"
"18.02.2021","195,7623","166,1772","197,1518","165,9583","11,23M","18,37%"
"17.02.2021","165,3812","129,8289","170,5834","128,3710","10,18M","27,12%"
"16.02.2021","130,0967","129,4763","131,3057","128,0654","3,26M","0,07%"
"15.02.2021","130,0005","135,8566","135,8566","121,1946","4,77M","-4,40%"
"14.02.2021","135,9867","133,6177","137,8980","129,8307","4,41M","2,18%"
"13.02.2021","133,0876","137,3759","137,3759","128,2708","3,79M","-2,62%"
"12.02.2021","136,6736","124,4240","136,6736","122,9249","5,63M","10,18%"
"11.02.2021","124,0438","129,2961","129,2961","120,2420","5,92M","-3,62%"
"10.02.2021","128,7068","107,9599","146,7433","107,9599","16,61M","19,61%"
"09.02.2021","107,6085","79,9937","109,2208","78,6786","12,49M","34,97%"
"08.02.2021","79,7259","68,1494","79,7259","68,1494","7,86M","16,56%"
"07.02.2021","68,4016","72,8644","73,6196","66,7283","5,97M","-5,75%"
"06.02.2021","72,5750","67,4624","74,8073","64,9716","8,48M","7,10%"
"05.02.2021","67,7615","56,1479","68,2650","56,1479","5,04M","21,18%"
"04.02.2021","55,9168","52,2407","56,8871","52,2407","4,00M","7,28%"
"03.02.2021","52,1200","50,9087","52,2954","50,2196","2,95M","2,21%"
"02.02.2021","50,9937","51,3445","52,2633","49,9524","4,67M","-0,81%"
"01.02.2021","51,4101","44,2315","51,4101","44,0021","6,10M","15,98%"
"31.01.2021","44,3263","44,7982","45,2486","43,6520","2,43M","-0,96%"
"30.01.2021","44,7568","42,8885","45,0135","42,8885","2,77M","4,40%"
"29.01.2021","42,8699","42,4918","43,9823","42,4000","3,44M","0,93%"
"28.01.2021","42,4763","40,7066","42,6914","40,7066","2,98M","3,65%"
"27.01.2021","40,9816","41,8446","41,8446","40,5705","2,65M","-1,77%"
"26.01.2021","41,7194","41,4574","41,9845","40,2759","2,76M","-0,14%"
"25.01.2021","41,7770","41,8629","43,0472","41,3365","2,77M","-0,12%"
"24.01.2021","41,8256","40,8638","42,0517","40,8638","2,34M","2,22%"
"23.01.2021","40,9167","40,6727","41,4663","39,9499","2,54M","0,12%"
"22.01.2021","40,8661","38,6950","41,0209","37,7942","3,08M","5,61%"
"21.01.2021","38,6947","42,6029","42,6029","38,6947","3,46M","-9,11%"
"20.01.2021","42,5736","42,5380","42,6272","41,0105","3,71M","-0,11%"
"19.01.2021","42,6191","45,3638","45,4913","42,4769","5,15M","-6,03%"
"18.01.2021","45,3555","46,1330","46,4546","44,2120","3,07M","-1,20%"
"17.01.2021","45,9047","42,9157","46,2351","41,3527","3,88M","6,51%"
"16.01.2021","43,0989","40,9066","43,7486","40,9066","3,25M","5,33%"
"15.01.2021","40,9165","41,9087","42,0986","40,1712","3,43M","-2,31%"
"14.01.2021","41,8827","40,0922","41,8827","39,9367","3,31M","4,38%"
"13.01.2021","40,1244","38,2502","40,1244","37,8169","3,51M","4,88%"
"12.01.2021","38,2581","38,1299","39,4362","37,8400","3,26M","0,24%"
"11.01.2021","38,1674","42,3917","42,3917","35,6030","6,37M","-10,05%"
"10.01.2021","42,4317","43,9572","44,6629","41,1449","4,28M","-3,15%"
"09.01.2021","43,8126","42,3903","43,9189","41,7113","2,72M","3,51%"
"08.01.2021","42,3270","43,5169","43,5169","41,6297","3,56M","-3,04%"
"07.01.2021","43,6528","42,3066","44,1186","41,7334","5,02M","3,35%"
"06.01.2021","42,2373","41,7302","42,2373","40,8161","3,78M","1,07%"
"05.01.2021","41,7887","41,0212","41,7887","39,6767","3,51M","1,67%"
"04.01.2021","41,1038","41,3727","42,3482","39,6332","5,30M","-0,28%"
"03.01.2021","41,2181","38,2218","41,2181","37,9792","4,90M","7,78%"
"02.01.2021","38,2444","37,6613","38,7780","37,0968","3,02M","1,37%"
"01.01.2021","37,7260","37,3620","38,6376","37,0660","2,43M","1,06%"
"31.12.2020","37,3305","38,1657","38,1657","36,8035","1,89M","-1,99%"
"30.12.2020","38,0887","39,1271","39,1271","37,0901","2,42M","-2,59%"
"29.12.2020","39,1026","35,9686","39,1026","35,9686","7,02M","8,81%"
"28.12.2020","35,9366","33,6431","35,9366","33,6431","4,12M","6,83%"
"27.12.2020","33,6395","33,5982","34,5800","33,2327","3,75M","0,17%"
"26.12.2020","33,5820","33,1967","33,6305","32,9228","2,42M","1,21%"
"25.12.2020","33,1811","32,4993","33,2620","32,3215","2,60M","2,04%"
"24.12.2020","32,5163","31,1888","32,5163","30,7499","3,00M","4,24%"
"23.12.2020","31,1937","33,4744","34,3397","31,1937","3,94M","-6,98%"
"22.12.2020","33,5326","32,0499","33,5326","31,7191","3,57M","4,26%"
"21.12.2020","32,1621","34,1796","35,5888","31,5831","4,55M","-6,14%"
"20.12.2020","34,2674","33,2832","35,1873","33,2832","4,48M","2,90%"
"19.12.2020","33,3030","30,9232","33,9521","30,9232","4,12M","7,58%"
"18.12.2020","30,9571","30,2011","30,9571","30,2011","2,04M","2,44%"
