"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.02.2021","1.512,66","1.476,77","1.561,66","1.403,30","1,91M","2,47%"
"25.02.2021","1.476,15","1.623,76","1.669,24","1.460,92","1,75M","-9,09%"
"24.02.2021","1.623,71","1.578,27","1.711,16","1.505,79","2,19M","2,89%"
"23.02.2021","1.578,11","1.777,25","1.781,44","1.370,45","3,60M","-11,21%"
"22.02.2021","1.777,28","1.933,52","1.935,04","1.561,68","2,68M","-8,08%"
"21.02.2021","1.933,45","1.912,97","1.974,99","1.885,70","1,47M","1,02%"
"20.02.2021","1.913,88","1.955,54","2.040,79","1.800,00","2,29M","-2,13%"
"19.02.2021","1.955,59","1.934,17","1.968,93","1.892,70","1,78M","1,11%"
"18.02.2021","1.934,16","1.849,95","1.950,04","1.849,05","881,87K","4,66%"
"17.02.2021","1.847,95","1.781,44","1.854,03","1.734,15","1,69M","3,72%"
"16.02.2021","1.781,69","1.778,63","1.827,07","1.726,78","1,48M","0,16%"
"15.02.2021","1.778,82","1.800,60","1.835,51","1.661,09","1,94M","-1,27%"
"14.02.2021","1.801,78","1.815,44","1.850,00","1.787,11","1,43M","-0,76%"
"13.02.2021","1.815,49","1.840,90","1.871,36","1.766,05","1,44M","-1,39%"
"12.02.2021","1.841,02","1.786,74","1.862,17","1.741,04","1,75M","3,06%"
"11.02.2021","1.786,35","1.742,11","1.817,68","1.704,97","1,56M","2,54%"
"10.02.2021","1.742,09","1.770,81","1.835,40","1.683,52","2,01M","-1,61%"
"09.02.2021","1.770,63","1.750,19","1.818,94","1.711,40","1,94M","1,17%"
"08.02.2021","1.750,18","1.612,98","1.775,12","1.566,43","2,17M","8,50%"
"07.02.2021","1.612,99","1.676,62","1.692,29","1.491,68","1,94M","-3,80%"
"06.02.2021","1.676,63","1.719,11","1.742,90","1.648,03","1,78M","-2,48%"
"05.02.2021","1.719,20","1.593,91","1.760,09","1.589,28","1,80M","7,85%"
"04.02.2021","1.594,00","1.664,19","1.693,64","1.570,45","2,34M","-4,23%"
"03.02.2021","1.664,34","1.511,96","1.667,93","1.510,27","2,27M","10,12%"
"02.02.2021","1.511,36","1.373,31","1.546,88","1.361,63","2,73M","10,04%"
"01.02.2021","1.373,40","1.312,69","1.376,44","1.272,09","1,65M","4,62%"
"31.01.2021","1.312,73","1.377,05","1.380,04","1.282,41","1,54M","-4,67%"
"30.01.2021","1.376,96","1.379,78","1.405,78","1.327,66","1,59M","-0,17%"
"29.01.2021","1.379,30","1.329,16","1.436,27","1.288,26","3,33M","3,83%"
"28.01.2021","1.328,47","1.247,67","1.359,51","1.221,15","814,31K","6,48%"
"27.01.2021","1.247,62","1.366,14","1.372,31","1.210,40","2,90M","-8,68%"
