"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"26.02.2021","8,9952","8,9328","9,0810","8,8719","0,73%"
"25.02.2021","8,9305","8,7204","9,0805","8,7065","2,50%"
"24.02.2021","8,7131","8,6344","8,7996","8,5915","0,98%"
"23.02.2021","8,6282","8,5328","8,6456","8,5201","1,21%"
"22.02.2021","8,5253","8,4379","8,6080","8,4288","1,11%"
"19.02.2021","8,4319","8,4247","8,4831","8,4179","0,25%"
"18.02.2021","8,4112","8,3949","8,4622","8,3507","0,27%"
"17.02.2021","8,3882","8,4636","8,5264","8,3758","-0,81%"
"16.02.2021","8,4569","8,4456","8,5017","8,3799","0,21%"
"15.02.2021","8,4391","8,5301","8,5339","8,4199","-0,96%"
"12.02.2021","8,5213","8,5219","8,5491","8,4774","0,04%"
"11.02.2021","8,5181","8,5576","8,5766","8,5072","-0,32%"
"10.02.2021","8,5452","8,5619","8,5971","8,5238","-0,08%"
"09.02.2021","8,5523","8,5198","8,6229","8,5177","0,45%"
"08.02.2021","8,5144","8,4942","8,5706","8,4524","0,31%"
"05.02.2021","8,4882","8,5392","8,5564","8,4528","-0,52%"
"04.02.2021","8,5329","8,6191","8,6328","8,5068","-0,92%"
"03.02.2021","8,6120","8,6673","8,6804","8,5690","-0,55%"
"02.02.2021","8,6595","8,6757","8,6877","8,5574","-0,10%"
"01.02.2021","8,6684","8,8803","8,8847","8,6334","-2,29%"
"29.01.2021","8,8713","8,8979","8,9435","8,8197","-0,18%"
"28.01.2021","8,8876","8,9576","8,9944","8,8888","-0,71%"
"27.01.2021","8,9515","8,9351","8,9862","8,9052","0,26%"
"26.01.2021","8,9283","8,9930","9,0219","8,9032","-0,64%"
"25.01.2021","8,9862","9,0220","9,0468","8,9565","-0,34%"
"22.01.2021","9,0165","8,9630","9,0530","8,9588","0,68%"
"21.01.2021","8,9556","8,9850","9,0186","8,9200","-0,24%"
"20.01.2021","8,9774","9,0649","9,0830","8,9385","-0,88%"
"19.01.2021","9,0570","9,0365","9,0777","8,9826","0,31%"
"18.01.2021","9,0290","9,0339","9,1166","9,0016","0,03%"
"15.01.2021","9,0263","8,9601","9,1037","8,9235","0,75%"
"14.01.2021","8,9589","9,0044","9,0656","8,9109","-0,33%"
"13.01.2021","8,9882","9,0996","9,1339","8,9829","-1,13%"
"12.01.2021","9,0905","9,0874","9,1417","9,0257","0,12%"
"11.01.2021","9,0793","9,0115","9,1496","8,9643","0,81%"
"08.01.2021","9,0063","8,9836","9,0724","8,9568","0,34%"
"07.01.2021","8,9754","9,0066","9,0772","8,8779","-0,31%"
"06.01.2021","9,0030","9,0875","9,1098","8,9295","-0,86%"
"05.01.2021","9,0813","9,0932","9,1293","9,0395","-0,07%"
"04.01.2021","9,0878","9,0989","9,1257","8,9916","0,02%"
"01.01.2021","9,0862","9,0862","9,0862","9,0862","0,62%"
"31.12.2020","9,0304","9,0780","9,2037","9,0304","-0,44%"
"30.12.2020","9,0705","9,0470","9,0935","8,9521","0,34%"
"29.12.2020","9,0401","9,0975","9,1566","8,9887","-0,59%"
"28.12.2020","9,0936","9,2217","9,2582","9,0410","-1,27%"
"25.12.2020","9,2104","9,2374","9,2745","9,1672","-0,21%"
"24.12.2020","9,2298","9,3130","9,3709","9,2009","-0,80%"
"23.12.2020","9,3046","9,3193","9,3474","9,2829","-0,08%"
"22.12.2020","9,3117","9,3716","9,3861","9,2863","-0,55%"
"21.12.2020","9,3633","9,3393","9,4263","9,3030","0,22%"
"18.12.2020","9,3431","9,4474","9,5092","9,3126","-1,02%"
"17.12.2020","9,4398","9,5140","9,5502","9,4229","-0,71%"
"16.12.2020","9,5074","9,5211","9,5565","9,4391","-0,07%"
"15.12.2020","9,5142","9,5366","9,5757","9,4967","-0,17%"
"14.12.2020","9,5302","9,5365","9,6471","9,5081","0,16%"
"11.12.2020","9,5146","9,5742","9,7405","9,4710","-0,59%"
"10.12.2020","9,5709","9,4565","9,6062","9,4401","1,37%"
"09.12.2020","9,4412","9,4591","9,5230","9,4309","-0,04%"
"08.12.2020","9,4454","9,4468","9,5215","9,4320","0,06%"
"07.12.2020","9,4402","9,4608","9,5479","9,4408","-0,12%"
"04.12.2020","9,4513","9,4426","9,5429","9,4271","0,22%"
"03.12.2020","9,4301","9,5137","9,6077","9,4159","-0,83%"
"02.12.2020","9,5089","9,4494","9,5360","9,3893","0,68%"
"01.12.2020","9,4445","9,3425","9,4842","9,3221","1,14%"
"30.11.2020","9,3377","9,3689","9,4167","9,2780","-0,35%"
"27.11.2020","9,3701","9,3757","9,4143","9,2521","-0,04%"
"26.11.2020","9,3737","9,4495","9,5164","9,3375","-0,77%"
"25.11.2020","9,4467","9,5159","9,5456","9,4125","-0,66%"
"24.11.2020","9,5091","9,3364","9,5641","9,2774","1,91%"
"23.11.2020","9,3311","9,0508","9,4671","9,0508","3,14%"
"20.11.2020","9,0466","8,9689","9,1448","8,9316","0,91%"
"19.11.2020","8,9649","9,1343","9,1756","8,8740","-1,82%"
