"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"26.02.2021","12.863,46","13.006,88","13.183,80","12.733,90","-0,91%"
"25.02.2021","12.981,15","12.940,50","13.181,69","12.785,23","0,40%"
"24.02.2021","12.929,94","12.831,65","12.996,95","12.793,08","0,87%"
"23.02.2021","12.819,04","12.703,54","12.852,79","12.668,29","1,00%"
"22.02.2021","12.691,79","12.414,16","12.802,54","12.400,79","2,33%"
"19.02.2021","12.402,56","12.372,92","12.467,71","12.282,08","0,41%"
"18.02.2021","12.351,61","12.387,63","12.485,02","12.351,54","-0,17%"
"17.02.2021","12.372,16","12.546,55","12.642,58","12.326,63","-1,29%"
"16.02.2021","12.534,05","12.669,34","12.718,41","12.512,01","-0,95%"
"15.02.2021","12.653,94","12.831,66","12.846,88","12.619,92","-1,31%"
"12.02.2021","12.822,39","12.821,05","12.872,96","12.703,17","0,03%"
"11.02.2021","12.818,70","13.017,79","13.033,92","12.787,83","-1,38%"
"10.02.2021","12.998,13","12.988,38","13.079,76","12.934,42","0,23%"
"09.02.2021","12.968,20","12.945,04","13.149,17","12.939,34","0,26%"
"08.02.2021","12.934,63","12.792,55","13.061,88","12.745,26","1,29%"
"05.02.2021","12.769,72","12.805,44","12.856,88","12.661,71","-0,17%"
"04.02.2021","12.792,08","13.135,86","13.144,88","12.712,75","-2,50%"
"03.02.2021","13.120,14","13.226,79","13.285,59","13.067,52","-0,69%"
"02.02.2021","13.211,80","13.387,27","13.397,72","13.098,91","-1,19%"
"01.02.2021","13.370,97","13.507,29","13.661,11","13.303,43","-0,92%"
"29.01.2021","13.494,73","13.528,47","13.701,47","13.476,00","-0,11%"
"28.01.2021","13.509,14","13.637,67","13.721,80","13.478,37","-0,87%"
"27.01.2021","13.627,45","13.596,74","13.678,16","13.540,86","0,30%"
"26.01.2021","13.587,35","13.750,33","13.815,23","13.577,34","-1,09%"
"25.01.2021","13.737,77","13.744,59","13.819,39","13.629,27","0,07%"
"22.01.2021","13.728,51","13.778,03","13.853,71","13.607,22","-0,25%"
"21.01.2021","13.763,23","13.892,21","13.917,77","13.680,12","-0,84%"
"20.01.2021","13.880,43","13.754,63","13.902,21","13.645,37","1,02%"
"19.01.2021","13.740,83","13.746,99","13.803,75","13.640,25","0,05%"
"18.01.2021","13.734,06","13.652,95","13.862,37","13.522,00","0,61%"
"15.01.2021","13.650,66","13.591,96","13.845,92","13.572,18","0,35%"
"14.01.2021","13.603,39","13.666,07","13.744,96","13.535,43","-0,26%"
"13.01.2021","13.638,84","13.825,05","13.919,61","13.646,63","-1,25%"
"12.01.2021","13.811,12","13.786,64","14.001,68","13.751,01","0,29%"
"11.01.2021","13.771,16","13.612,96","13.876,62","13.398,79","1,08%"
"08.01.2021","13.624,45","14.008,84","14.074,98","13.477,30","-2,63%"
"07.01.2021","13.992,06","14.020,68","14.164,22","13.843,45","-0,11%"
"06.01.2021","14.008,15","14.409,71","14.443,78","13.869,68","-2,71%"
"05.01.2021","14.397,85","14.425,61","14.509,77","14.320,93","-0,09%"
"04.01.2021","14.411,04","14.126,16","14.438,83","14.106,55","2,09%"
"01.01.2021","14.116,36","14.114,95","14.127,93","14.113,08","0,07%"
"31.12.2020","14.106,60","13.986,25","14.207,92","13.874,13","0,96%"
"30.12.2020","13.971,98","13.878,72","13.990,67","13.718,90","0,79%"
"29.12.2020","13.862,12","13.946,36","14.051,92","13.776,28","-0,52%"
"28.12.2020","13.934,43","14.186,04","14.363,27","13.900,85","-1,57%"
"25.12.2020","14.156,85","14.228,42","14.268,70","14.135,32","-0,37%"
"24.12.2020","14.208,81","14.311,97","14.429,91","14.137,80","-0,62%"
"23.12.2020","14.298,02","14.254,28","14.345,79","14.199,20","0,41%"
"22.12.2020","14.239,65","14.367,09","14.423,59","14.210,46","-0,79%"
"21.12.2020","14.352,32","14.354,25","14.697,96","14.208,92","0,10%"
"18.12.2020","14.337,96","14.520,17","14.611,32","14.325,72","-1,17%"
"17.12.2020","14.507,46","14.547,92","14.674,50","14.489,22","-0,19%"
"16.12.2020","14.535,65","14.522,21","14.583,85","14.396,10","0,18%"
"15.12.2020","14.509,69","14.349,38","14.580,24","14.331,36","1,20%"
"14.12.2020","14.337,05","14.459,12","14.771,11","14.276,33","-0,77%"
"11.12.2020","14.447,77","14.488,90","14.724,04","14.364,75","-0,23%"
"10.12.2020","14.480,93","14.403,51","14.567,03","14.340,42","0,74%"
"09.12.2020","14.374,37","14.618,10","14.630,51","14.293,17","-1,49%"
"08.12.2020","14.591,60","14.528,58","14.705,26","14.516,20","0,50%"
"07.12.2020","14.519,27","14.341,70","14.621,02","14.291,48","1,32%"
"04.12.2020","14.329,87","14.314,50","14.456,54","14.252,12","0,26%"
"03.12.2020","14.293,39","14.373,96","14.584,50","14.158,75","-0,51%"
"02.12.2020","14.366,57","14.210,77","14.413,44","14.092,25","1,18%"
"01.12.2020","14.199,59","13.919,36","14.275,36","13.894,78","2,10%"
"30.11.2020","13.907,86","14.017,75","14.046,75","13.691,07","-0,71%"
"27.11.2020","14.006,77","14.252,21","14.313,63","13.886,33","-1,69%"
"26.11.2020","14.247,56","14.337,01","14.444,03","14.220,32","-0,58%"
"25.11.2020","14.330,47","14.465,62","14.548,96","14.271,25","-0,83%"
"24.11.2020","14.451,07","14.493,07","14.704,79","14.306,18","-0,21%"
"23.11.2020","14.481,48","14.294,57","14.866,72","14.285,75","1,44%"
"20.11.2020","14.276,11","14.095,57","14.458,63","14.019,35","1,34%"
"19.11.2020","14.087,27","14.428,29","14.462,89","13.951,79","-2,31%"
"18.11.2020","14.420,42","14.476,11","14.593,93","14.359,20","-0,30%"
"17.11.2020","14.463,91","14.548,25","14.757,80","14.450,89","-0,50%"
"16.11.2020","14.536,18","14.472,51","14.693,14","14.352,27","0,51%"
"13.11.2020","14.462,76","14.435,45","14.622,76","14.273,36","0,27%"
"12.11.2020","14.424,39","14.549,50","14.766,24","14.327,86","-0,78%"
"11.11.2020","14.538,24","15.293,47","15.443,82","14.503,51","-4,86%"
"10.11.2020","15.280,90","15.022,09","15.799,80","15.016,49","1,77%"
"09.11.2020","15.015,59","16.457,60","16.582,68","14.997,05","-9,72%"
"06.11.2020","16.633,11","16.419,88","16.819,18","16.282,92","1,36%"
"05.11.2020","16.410,24","16.056,24","16.478,39","16.033,69","2,36%"
"04.11.2020","16.032,21","16.048,28","16.189,17","15.828,13","-0,03%"
"03.11.2020","16.037,73","15.969,19","16.305,57","15.920,14","0,51%"
"02.11.2020","15.956,21","15.683,04","16.010,53","15.670,44","1,79%"
"30.10.2020","15.675,62","15.488,58","15.823,07","15.459,94","1,28%"
"29.10.2020","15.477,12","15.504,53","15.668,21","15.447,79","-0,10%"
"28.10.2020","15.492,11","15.619,80","15.812,67","15.415,99","-0,77%"
