"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"26.02.2021","1.727,96","1.770,20","1.775,82","1.717,33","-2,37%"
"25.02.2021","1.769,88","1.804,80","1.806,06","1.765,44","-1,91%"
"24.02.2021","1.804,36","1.805,34","1.813,99","1.783,30","-0,04%"
"23.02.2021","1.805,06","1.809,09","1.816,27","1.795,78","-0,20%"
"22.02.2021","1.808,66","1.782,24","1.812,76","1.780,46","1,48%"
"19.02.2021","1.782,31","1.776,19","1.791,70","1.760,13","0,38%"
"18.02.2021","1.775,49","1.776,69","1.789,88","1.767,98","-0,04%"
"17.02.2021","1.776,26","1.794,65","1.795,45","1.769,27","-1,01%"
"16.02.2021","1.794,31","1.819,34","1.826,75","1.789,19","-1,33%"
"15.02.2021","1.818,51","1.825,34","1.827,59","1.815,71","-0,27%"
"12.02.2021","1.823,46","1.825,90","1.830,80","1.810,33","-0,10%"
"11.02.2021","1.825,36","1.842,65","1.847,95","1.820,63","-0,91%"
"10.02.2021","1.842,22","1.837,55","1.855,70","1.833,91","0,28%"
"09.02.2021","1.837,06","1.830,59","1.849,15","1.828,63","0,38%"
"08.02.2021","1.830,16","1.815,44","1.839,15","1.807,48","1,02%"
"05.02.2021","1.811,62","1.792,49","1.815,32","1.791,80","1,08%"
"04.02.2021","1.792,26","1.834,34","1.835,13","1.785,15","-2,26%"
"03.02.2021","1.833,76","1.837,49","1.845,29","1.829,49","-0,20%"
"02.02.2021","1.837,35","1.860,84","1.864,26","1.829,46","-1,23%"
"01.02.2021","1.860,16","1.863,05","1.871,84","1.849,04","0,76%"
"29.01.2021","1.846,09","1.840,90","1.876,03","1.839,56","0,31%"
"28.01.2021","1.840,36","1.844,34","1.864,26","1.833,81","-0,20%"
"27.01.2021","1.843,99","1.850,65","1.853,58","1.831,29","-0,34%"
"26.01.2021","1.850,31","1.855,55","1.861,86","1.848,36","-0,25%"
"25.01.2021","1.854,99","1.855,75","1.868,45","1.847,30","0,13%"
"22.01.2021","1.852,55","1.870,09","1.871,17","1.837,09","-0,93%"
"21.01.2021","1.869,91","1.871,07","1.875,45","1.858,16","-0,05%"
"20.01.2021","1.870,91","1.840,05","1.872,03","1.832,46","1,72%"
"19.01.2021","1.839,34","1.838,09","1.845,98","1.833,06","0,13%"
"18.01.2021","1.836,89","1.828,94","1.840,95","1.810,46","0,56%"
"15.01.2021","1.826,59","1.846,80","1.856,85","1.823,21","-1,07%"
"14.01.2021","1.846,37","1.843,94","1.857,59","1.833,21","0,16%"
"13.01.2021","1.843,41","1.856,19","1.863,26","1.843,34","-0,66%"
"12.01.2021","1.855,63","1.845,34","1.864,08","1.837,41","0,59%"
"11.01.2021","1.844,66","1.849,34","1.857,05","1.817,14","-0,19%"
"08.01.2021","1.848,26","1.912,90","1.917,85","1.828,74","-3,36%"
"07.01.2021","1.912,50","1.919,40","1.927,97","1.906,86","-0,33%"
"06.01.2021","1.918,81","1.950,30","1.959,60","1.901,11","-1,57%"
"05.01.2021","1.949,35","1.942,65","1.953,17","1.934,08","0,36%"
"04.01.2021","1.942,28","1.906,05","1.944,65","1.905,36","2,33%"
"01.01.2021","1.898,10","1.897,69","1.899,12","1.897,39","0,09%"
"31.12.2020","1.896,49","1.893,55","1.901,26","1.884,77","0,16%"
"30.12.2020","1.893,37","1.878,34","1.894,06","1.875,66","0,82%"
"29.12.2020","1.877,99","1.872,24","1.886,91","1.870,99","0,36%"
"28.12.2020","1.871,19","1.885,93","1.900,53","1.869,21","-0,25%"
"25.12.2020","1.875,82","1.877,07","1.877,07","1.877,07","-0,04%"
"24.12.2020","1.876,56","1.872,74","1.882,55","1.869,52","0,24%"
"23.12.2020","1.872,08","1.859,99","1.878,59","1.858,59","0,67%"
"22.12.2020","1.859,56","1.876,65","1.884,61","1.858,73","-0,89%"
"21.12.2020","1.876,21","1.883,20","1.906,93","1.856,69","-0,24%"
"18.12.2020","1.880,66","1.885,80","1.889,88","1.876,97","-0,28%"
"17.12.2020","1.885,87","1.864,26","1.896,26","1.861,83","1,17%"
"16.12.2020","1.864,15","1.853,94","1.866,20","1.844,75","0,58%"
"15.12.2020","1.853,46","1.827,80","1.855,76","1.825,29","1,44%"
"14.12.2020","1.827,17","1.839,30","1.839,86","1.819,92","-0,64%"
"11.12.2020","1.839,03","1.835,55","1.847,89","1.824,23","0,20%"
"10.12.2020","1.835,31","1.839,59","1.850,40","1.828,48","-0,21%"
"09.12.2020","1.839,11","1.871,19","1.871,37","1.825,71","-1,72%"
"08.12.2020","1.871,36","1.863,55","1.875,79","1.859,83","0,41%"
"07.12.2020","1.863,69","1.837,99","1.868,76","1.822,99","1,42%"
"04.12.2020","1.837,61","1.841,05","1.848,26","1.829,30","-0,15%"
"03.12.2020","1.840,36","1.831,34","1.844,45","1.823,60","0,51%"
"02.12.2020","1.831,01","1.815,19","1.832,65","1.806,99","0,89%"
"01.12.2020","1.814,87","1.777,40","1.817,55","1.775,52","2,13%"
"30.11.2020","1.777,02","1.789,05","1.789,99","1.764,69","-0,62%"
"27.11.2020","1.788,13","1.811,09","1.813,81","1.773,93","-1,24%"
"26.11.2020","1.810,57","1.805,74","1.818,78","1.805,31","0,29%"
"25.11.2020","1.805,30","1.807,69","1.817,98","1.801,33","-0,12%"
"24.11.2020","1.807,51","1.836,65","1.839,26","1.800,69","-1,54%"
"23.11.2020","1.835,85","1.869,84","1.876,72","1.830,85","-1,85%"
"20.11.2020","1.870,49","1.867,59","1.879,98","1.860,66","0,17%"
"19.11.2020","1.867,37","1.871,44","1.874,34","1.852,48","-0,22%"
"18.11.2020","1.871,41","1.878,60","1.884,92","1.863,94","-0,38%"
"17.11.2020","1.878,60","1.889,15","1.893,90","1.877,69","-0,52%"
"16.11.2020","1.888,52","1.888,74","1.899,35","1.864,74","0,03%"
"13.11.2020","1.888,04","1.876,44","1.897,16","1.873,76","0,65%"
"12.11.2020","1.875,76","1.865,30","1.883,88","1.862,46","0,59%"
"11.11.2020","1.864,71","1.877,34","1.884,93","1.856,05","-0,63%"
"10.11.2020","1.876,50","1.862,15","1.890,60","1.860,30","0,79%"
"09.11.2020","1.861,86","1.954,65","1.965,92","1.850,36","-4,59%"
"06.11.2020","1.951,51","1.949,24","1.960,77","1.935,40","0,15%"
"05.11.2020","1.948,56","1.903,65","1.952,95","1.902,43","2,38%"
"04.11.2020","1.903,21","1.908,59","1.916,68","1.883,15","-0,27%"
"03.11.2020","1.908,36","1.895,80","1.910,71","1.886,81","0,70%"
"02.11.2020","1.895,10","1.878,59","1.896,12","1.873,21","0,91%"
"30.10.2020","1.877,95","1.868,24","1.889,85","1.864,64","0,58%"
"29.10.2020","1.867,13","1.876,94","1.885,42","1.859,67","-0,53%"
"28.10.2020","1.877,06","1.908,05","1.911,03","1.869,59","-1,56%"
"27.10.2020","1.906,83","1.902,19","1.911,34","1.897,47","0,27%"
"26.10.2020","1.901,69","1.902,34","1.908,55","1.890,90","0,05%"
"23.10.2020","1.900,79","1.904,24","1.914,30","1.894,54","-0,17%"
"22.10.2020","1.904,04","1.924,34","1.926,00","1.894,80","-1,06%"
"21.10.2020","1.924,49","1.908,65","1.931,41","1.907,94","0,95%"
"20.10.2020","1.906,39","1.904,24","1.914,20","1.894,74","0,11%"
"19.10.2020","1.904,27","1.899,94","1.918,59","1.897,09","0,28%"
"16.10.2020","1.898,97","1.907,95","1.914,06","1.897,59","-0,46%"
"15.10.2020","1.907,82","1.900,31","1.909,22","1.889,46","0,36%"
"14.10.2020","1.900,89","1.891,90","1.913,03","1.882,44","0,53%"
"13.10.2020","1.890,82","1.922,42","1.925,73","1.886,59","-1,62%"
"12.10.2020","1.921,95","1.930,50","1.933,45","1.918,19","-0,39%"
"09.10.2020","1.929,43","1.894,19","1.930,83","1.893,32","1,92%"
"08.10.2020","1.893,09","1.887,40","1.900,73","1.881,86","0,31%"
"07.10.2020","1.887,22","1.878,84","1.898,31","1.873,05","0,54%"
"06.10.2020","1.877,13","1.913,28","1.921,10","1.874,57","-1,87%"
"05.10.2020","1.912,90","1.902,24","1.918,74","1.886,81","0,75%"
"02.10.2020","1.898,70","1.905,65","1.917,28","1.889,57","-0,33%"
"01.10.2020","1.905,05","1.885,80","1.912,09","1.884,48","1,04%"
"30.09.2020","1.885,44","1.897,81","1.902,39","1.881,31","-0,65%"
"29.09.2020","1.897,69","1.881,40","1.899,24","1.875,56","0,90%"
"28.09.2020","1.880,85","1.859,00","1.883,39","1.849,19","1,12%"
"25.09.2020","1.860,05","1.868,61","1.875,28","1.852,59","-0,43%"
"24.09.2020","1.868,04","1.863,42","1.877,30","1.848,45","0,24%"
"23.09.2020","1.863,55","1.900,20","1.905,56","1.855,77","-1,88%"
"22.09.2020","1.899,28","1.912,80","1.919,99","1.894,93","-0,69%"
"21.09.2020","1.912,57","1.949,55","1.955,75","1.883,21","-1,90%"
"18.09.2020","1.949,69","1.943,87","1.960,20","1.941,79","0,37%"
"17.09.2020","1.942,60","1.959,99","1.963,48","1.932,99","-0,85%"
"16.09.2020","1.959,32","1.956,19","1.973,63","1.949,89","0,19%"
"15.09.2020","1.955,52","1.957,31","1.972,35","1.948,64","-0,04%"
"14.09.2020","1.956,37","1.941,05","1.962,52","1.937,46","0,77%"
"11.09.2020","1.941,50","1.955,20","1.957,95","1.937,42","-0,64%"
"10.09.2020","1.954,07","1.946,06","1.966,50","1.941,42","0,38%"
"09.09.2020","1.946,66","1.932,26","1.950,95","1.920,20","0,81%"
"08.09.2020","1.930,93","1.930,05","1.940,84","1.906,67","0,11%"
"07.09.2020","1.928,82","1.931,24","1.941,44","1.924,57","-0,19%"
"04.09.2020","1.932,45","1.931,51","1.942,25","1.916,67","0,10%"
"03.09.2020","1.930,52","1.943,06","1.951,19","1.921,99","-0,62%"
"02.09.2020","1.942,62","1.969,75","1.974,45","1.932,76","-1,40%"
"01.09.2020","1.970,14","1.967,63","1.992,38","1.963,20","0,02%"
"31.08.2020","1.969,75","1.965,40","1.976,47","1.954,58","0,27%"
"28.08.2020","1.964,49","1.930,04","1.973,91","1.923,70","1,84%"
"27.08.2020","1.928,91","1.953,31","1.976,60","1.910,22","-1,26%"
"26.08.2020","1.953,45","1.929,07","1.954,98","1.902,77","1,32%"
"25.08.2020","1.927,94","1.933,06","1.937,69","1.914,42","-0,23%"
"24.08.2020","1.932,45","1.939,24","1.961,89","1.924,01","-0,36%"
"21.08.2020","1.939,40","1.947,44","1.956,08","1.911,65","-0,16%"
"20.08.2020","1.942,60","1.929,53","1.955,44","1.925,12","0,68%"
"19.08.2020","1.929,54","2.001,19","2.006,68","1.924,82","-3,57%"
"18.08.2020","2.000,95","1.985,89","2.015,45","1.977,84","0,73%"
"17.08.2020","1.986,45","1.947,04","1.990,65","1.929,74","2,20%"
"14.08.2020","1.943,76","1.953,70","1.962,84","1.932,65","-0,48%"
"13.08.2020","1.953,03","1.920,90","1.966,43","1.912,93","1,84%"
"12.08.2020","1.917,82","1.912,00","1.949,45","1.864,30","0,34%"
"11.08.2020","1.911,25","2.027,34","2.032,19","1.901,69","-5,72%"
"10.08.2020","2.027,26","2.034,19","2.050,01","2.019,41","-0,36%"
"07.08.2020","2.034,62","2.065,11","2.073,41","2.015,55","-1,38%"
"06.08.2020","2.063,19","2.040,40","2.069,77","2.034,71","1,17%"
"05.08.2020","2.039,40","2.018,98","2.055,68","2.009,77","1,06%"
"04.08.2020","2.018,07","1.976,99","2.019,88","1.968,50","2,06%"
"03.08.2020","1.977,26","1.980,98","1.985,28","1.960,40","0,07%"
"31.07.2020","1.975,90","1.960,51","1.980,45","1.955,40","0,79%"
