"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"26.02.2021","7,42","7,45","7,51","7,42","48,81M","-0,47%"
"25.02.2021","7,45","7,25","7,45","7,20","44,42M","2,72%"
"24.02.2021","7,25","7,12","7,30","7,12","50,49M","1,81%"
"23.02.2021","7,13","7,10","7,29","7,10","75,98M","0,31%"
"22.02.2021","7,10","7,05","7,21","7,05","71,75M","0,79%"
"21.02.2021","7,05","7,09","7,09","7,05","33,82M","-0,56%"
"20.02.2021","7,09","6,97","7,09","6,94","51,18M","1,63%"
"19.02.2021","6,97","6,98","6,98","6,96","41,22M","-0,16%"
"18.02.2021","6,98","6,97","6,98","6,97","30,66M","0,09%"
"17.02.2021","6,98","7,03","7,03","6,98","36,18M","-0,73%"
"16.02.2021","7,03","7,07","7,07","6,99","40,73M","-0,55%"
"15.02.2021","7,07","7,18","7,18","7,07","71,19M","-1,37%"
"14.02.2021","7,17","7,07","7,17","7,07","29,40M","1,14%"
"13.02.2021","7,09","7,07","7,12","7,07","49,45M","0,28%"
"12.02.2021","7,07","7,03","7,07","7,03","43,27M","0,36%"
"11.02.2021","7,04","7,09","7,09","7,03","44,45M","-0,66%"
"10.02.2021","7,09","7,05","7,10","7,01","48,36M","0,54%"
"09.02.2021","7,05","6,95","7,05","6,95","46,42M","1,41%"
"08.02.2021","6,95","7,07","7,10","6,95","56,00M","-1,72%"
"07.02.2021","7,07","7,06","7,13","7,06","33,15M","0,13%"
"06.02.2021","7,06","7,06","7,08","7,06","28,75M","0,00%"
"05.02.2021","7,06","7,13","7,13","7,06","25,32M","-0,94%"
"04.02.2021","7,13","6,97","7,13","6,97","40,10M","2,11%"
"03.02.2021","6,98","7,06","7,10","6,98","36,54M","-1,15%"
"02.02.2021","7,06","7,19","7,19","7,06","30,32M","-1,75%"
"01.02.2021","7,19","7,27","7,27","7,19","51,89M","-1,06%"
"31.01.2021","7,27","7,15","7,33","7,15","34,16M","1,61%"
"30.01.2021","7,15","7,22","7,22","7,15","31,20M","-1,12%"
"29.01.2021","7,23","7,24","7,27","7,10","62,78M","-0,11%"
"28.01.2021","7,24","7,44","7,44","7,24","26,23M","-2,64%"
"27.01.2021","7,44","7,36","7,44","7,36","22,34M","0,98%"
"26.01.2021","7,36","7,47","7,49","7,36","21,90M","-1,38%"
"25.01.2021","7,47","7,38","7,47","7,33","33,94M","1,15%"
"24.01.2021","7,38","7,42","7,42","7,38","18,62M","-0,49%"
"23.01.2021","7,42","7,40","7,42","7,40","17,88M","0,23%"
"22.01.2021","7,40","7,43","7,43","7,40","31,28M","-0,43%"
"21.01.2021","7,43","7,42","7,48","7,42","26,45M","0,20%"
"20.01.2021","7,42","7,53","7,54","7,42","37,43M","-1,44%"
"19.01.2021","7,53","7,49","7,53","7,45","26,16M","0,49%"
"18.01.2021","7,49","7,50","7,52","7,49","26,65M","-0,11%"
"17.01.2021","7,50","7,50","7,54","7,50","23,98M","0,00%"
"16.01.2021","7,50","7,48","7,53","7,46","29,78M","0,21%"
"15.01.2021","7,48","7,32","7,48","7,32","26,62M","2,24%"
"14.01.2021","7,32","7,34","7,40","7,32","24,23M","-0,27%"
"13.01.2021","7,34","7,52","7,52","7,34","32,54M","-2,46%"
"12.01.2021","7,52","7,54","7,59","7,52","35,41M","-0,27%"
"11.01.2021","7,54","7,47","7,80","7,47","59,34M","0,90%"
"10.01.2021","7,47","7,48","7,62","7,41","49,90M","-0,12%"
"09.01.2021","7,48","7,55","7,65","7,48","26,04M","-0,86%"
"08.01.2021","7,55","7,47","7,57","7,47","40,36M","1,13%"
"07.01.2021","7,47","7,27","7,47","7,22","45,59M","2,67%"
"06.01.2021","7,27","7,36","7,36","7,27","41,61M","-1,22%"
"05.01.2021","7,36","7,45","7,49","7,36","28,87M","-1,21%"
"04.01.2021","7,45","7,34","7,52","7,34","38,07M","1,51%"
"03.01.2021","7,34","7,41","7,41","7,34","18,01M","-0,89%"
"02.01.2021","7,41","7,47","7,49","7,41","18,93M","-0,91%"
"01.01.2021","7,47","7,47","7,47","7,47","10,52M","0,11%"
"31.12.2020","7,47","7,35","7,49","7,35","14,84M","1,56%"
"30.12.2020","7,35","7,40","7,40","7,35","11,68M","-0,62%"
"29.12.2020","7,40","7,50","7,50","7,40","15,54M","-1,35%"
"28.12.2020","7,50","7,61","7,61","7,47","11,86M","-1,50%"
"27.12.2020","7,61","7,60","7,66","7,57","16,97M","0,17%"
"26.12.2020","7,60","7,52","7,60","7,52","9,01M","1,04%"
"25.12.2020","7,52","7,59","7,59","7,52","16,31M","-0,86%"
"24.12.2020","7,59","7,68","7,68","7,59","12,81M","-1,17%"
"23.12.2020","7,68","7,66","7,68","7,66","16,33M","0,20%"
"22.12.2020","7,66","7,75","7,75","7,66","13,43M","-1,10%"
"21.12.2020","7,75","7,74","7,75","7,73","18,30M","0,14%"
"20.12.2020","7,74","7,67","7,74","7,67","8,69M","0,85%"
"19.12.2020","7,67","7,66","7,67","7,66","6,50M","0,08%"
"18.12.2020","7,66","7,70","7,70","7,66","8,66M","-0,52%"
"17.12.2020","7,70","7,60","7,73","7,60","28,94M","1,36%"
"16.12.2020","7,60","7,84","7,84","7,60","16,95M","-3,07%"
"15.12.2020","7,84","7,84","7,86","7,83","6,17M","0,06%"
"14.12.2020","7,84","7,81","7,86","7,81","6,53M","0,31%"
"13.12.2020","7,81","7,86","7,86","7,81","8,95M","-0,60%"
"12.12.2020","7,86","7,88","7,88","7,86","4,41M","-0,24%"
"11.12.2020","7,88","7,91","7,94","7,88","9,40M","-0,34%"
"10.12.2020","7,91","7,84","7,91","7,84","5,83M","0,80%"
"09.12.2020","7,84","7,85","7,85","7,83","9,00M","-0,08%"
"08.12.2020","7,85","7,83","7,85","7,83","5,55M","0,18%"
"07.12.2020","7,84","7,80","7,84","7,80","5,29M","0,51%"
"06.12.2020","7,80","7,83","7,83","7,80","5,09M","-0,47%"
"05.12.2020","7,83","7,85","7,86","7,83","3,02M","-0,20%"
"04.12.2020","7,85","7,79","7,85","7,79","7,63M","0,68%"
"03.12.2020","7,80","7,83","7,84","7,80","8,01M","-0,47%"
"02.12.2020","7,83","7,89","7,89","7,83","7,15M","-0,84%"
"01.12.2020","7,90","7,73","7,90","7,73","16,71M","2,13%"
"30.11.2020","7,73","7,85","7,86","7,73","14,60M","-1,44%"
"29.11.2020","7,85","7,84","7,87","7,84","5,96M","0,06%"
"28.11.2020","7,84","7,82","7,84","7,82","8,19M","0,26%"
"27.11.2020","7,82","7,90","7,90","7,82","12,56M","-1,03%"
"26.11.2020","7,90","8,01","8,01","7,90","24,82M","-1,35%"
"25.11.2020","8,01","7,99","8,01","7,97","13,40M","0,28%"
"24.11.2020","7,99","7,82","8,01","7,82","27,36M","2,14%"
"23.11.2020","7,82","7,61","7,86","7,61","19,38M","2,84%"
"22.11.2020","7,61","7,45","7,61","7,45","16,94M","2,04%"
"21.11.2020","7,45","7,58","7,59","7,45","13,22M","-1,73%"
"20.11.2020","7,58","7,58","7,58","7,58","8,19M","0,00%"
"19.11.2020","7,58","7,71","7,71","7,58","8,25M","-1,57%"
"18.11.2020","7,70","7,62","7,70","7,62","9,34M","1,01%"
"17.11.2020","7,62","7,68","7,74","7,62","7,36M","-0,74%"
"16.11.2020","7,68","7,76","7,76","7,68","5,03M","-0,97%"
"15.11.2020","7,76","7,71","7,76","7,71","2,31M","0,61%"
"14.11.2020","7,71","7,68","7,71","7,68","1,91M","0,40%"
"13.11.2020","7,68","7,71","7,71","7,68","4,01M","-0,47%"
"12.11.2020","7,71","7,88","7,88","7,71","5,53M","-2,08%"
"11.11.2020","7,88","8,18","8,18","7,88","9,28M","-3,67%"
"10.11.2020","8,18","8,13","8,28","8,13","6,43M","0,63%"
"09.11.2020","8,13","8,40","8,40","8,08","11,97M","-3,28%"
"08.11.2020","8,40","8,49","8,52","8,40","8,94M","-1,07%"
"07.11.2020","8,49","8,47","8,49","8,45","11,64M","0,26%"
"06.11.2020","8,47","8,42","8,47","8,42","10,07M","0,57%"
"05.11.2020","8,42","8,45","8,50","8,42","6,98M","-0,28%"
"04.11.2020","8,45","8,41","8,53","8,41","4,87M","0,44%"
"03.11.2020","8,41","8,49","8,49","8,41","5,66M","-0,88%"
"02.11.2020","8,49","8,35","8,49","8,35","5,42M","1,59%"
"01.11.2020","8,35","8,36","8,38","8,35","1,68M","0,00%"
"31.10.2020","8,36","8,37","8,37","8,36","2,85M","-0,19%"
"30.10.2020","8,37","8,36","8,38","8,36","6,15M","0,12%"
"29.10.2020","8,36","8,37","8,40","8,36","3,01M","0,06%"
"28.10.2020","8,36","8,21","8,36","8,21","7,06M","1,74%"
"27.10.2020","8,22","8,14","8,22","8,14","4,27M","0,96%"
"26.10.2020","8,14","8,01","8,14","8,00","5,93M","1,55%"
"25.10.2020","8,01","7,97","8,01","7,97","3,19M","0,48%"
"24.10.2020","7,97","7,96","7,97","7,96","2,53M","0,19%"
"23.10.2020","7,96","7,90","7,96","7,90","4,59M","0,77%"
"22.10.2020","7,90","7,78","7,90","7,78","8,30M","1,58%"
"21.10.2020","7,78","7,91","7,91","7,78","6,21M","-1,68%"
"20.10.2020","7,91","7,93","7,93","7,91","3,70M","-0,29%"
"19.10.2020","7,93","7,95","7,95","7,91","3,21M","-0,23%"
"18.10.2020","7,95","7,98","7,98","7,95","1,66M","-0,34%"
"17.10.2020","7,98","7,98","7,98","7,98","887,16K","0,00%"
"16.10.2020","7,98","7,98","7,98","7,97","2,81M","0,00%"
"15.10.2020","7,98","7,97","7,98","7,97","3,34M","0,14%"
"14.10.2020","7,97","7,96","7,99","7,96","3,30M","0,16%"
"13.10.2020","7,95","7,90","7,95","7,90","4,13M","0,71%"
"12.10.2020","7,90","7,86","7,90","7,86","6,78M","0,56%"
"11.10.2020","7,86","7,87","7,87","7,86","2,25M","-0,13%"
"10.10.2020","7,86","7,87","7,87","7,86","2,84M","-0,08%"
"09.10.2020","7,87","7,88","7,91","7,87","4,57M","-0,18%"
"08.10.2020","7,89","7,89","7,89","7,89","5,23M","0,00%"
"07.10.2020","7,89","7,83","7,89","7,83","2,63M","0,69%"
"06.10.2020","7,83","7,80","7,83","7,80","3,73M","0,36%"
"05.10.2020","7,80","7,80","7,80","7,78","2,36M","0,00%"
"04.10.2020","7,80","7,82","7,82","7,80","1,26M","-0,14%"
"03.10.2020","7,82","7,82","7,82","7,82","1,15M","-0,12%"
"02.10.2020","7,82","7,80","7,82","7,80","3,85M","0,33%"
